,route,order_date,order_flow
593,上海-上海,2016-08-16,141.0
594,上海-上海,2016-08-17,101.0
595,上海-上海,2016-08-18,254.0
596,上海-上海,2016-08-19,148.0
597,上海-上海,2016-08-20,12.0
598,上海-上海,2016-08-21,0.0
599,上海-上海,2016-08-22,231.0
600,上海-上海,2016-08-23,207.0
601,上海-上海,2016-08-24,139.0
602,上海-上海,2016-08-25,247.0
603,上海-上海,2016-08-26,161.0
604,上海-上海,2016-08-27,3.0
605,上海-上海,2016-08-28,0.0
606,上海-上海,2016-08-29,367.0
607,上海-上海,2016-08-30,109.0
608,上海-上海,2016-08-31,97.0
609,上海-上海,2016-09-01,208.0
610,上海-上海,2016-09-02,177.0
611,上海-上海,2016-09-03,25.0
612,上海-上海,2016-09-04,0.0
613,上海-上海,2016-09-05,96.0
614,上海-上海,2016-09-06,210.0
615,上海-上海,2016-09-07,140.0
616,上海-上海,2016-09-08,281.0
617,上海-上海,2016-09-09,197.0
618,上海-上海,2016-09-10,82.0
619,上海-上海,2016-09-11,0.0
620,上海-上海,2016-09-12,220.0
621,上海-上海,2016-09-13,310.0
622,上海-上海,2016-09-14,131.0
623,上海-上海,2016-09-15,51.0
624,上海-上海,2016-09-16,8.0
625,上海-上海,2016-09-17,0.0
626,上海-上海,2016-09-18,235.0
627,上海-上海,2016-09-19,279.0
628,上海-上海,2016-09-20,271.0
629,上海-上海,2016-09-21,173.0
630,上海-上海,2016-09-22,420.0
631,上海-上海,2016-09-23,188.0
632,上海-上海,2016-09-24,2.0
633,上海-上海,2016-09-25,0.0
634,上海-上海,2016-09-26,108.0
635,上海-上海,2016-09-27,291.0
636,上海-上海,2016-09-28,200.0
637,上海-上海,2016-09-29,202.0
638,上海-上海,2016-09-30,254.0
639,上海-上海,2016-10-01,0.0
640,上海-上海,2016-10-02,0.0
641,上海-上海,2016-10-03,0.0
642,上海-上海,2016-10-04,0.0
643,上海-上海,2016-10-05,0.0
644,上海-上海,2016-10-06,0.0
645,上海-上海,2016-10-07,0.0
646,上海-上海,2016-10-08,227.0
647,上海-上海,2016-10-09,201.0
648,上海-上海,2016-10-10,238.0
649,上海-上海,2016-10-11,180.0
650,上海-上海,2016-10-12,254.0
651,上海-上海,2016-10-13,296.0
652,上海-上海,2016-10-14,200.0
653,上海-上海,2016-10-15,137.0
654,上海-上海,2016-10-16,24.0
655,上海-上海,2016-10-17,72.0
656,上海-上海,2016-10-18,436.0
657,上海-上海,2016-10-19,213.0
658,上海-上海,2016-10-20,432.0
659,上海-上海,2016-10-21,301.0
660,上海-上海,2016-10-22,44.0
661,上海-上海,2016-10-23,6.0
662,上海-上海,2016-10-24,160.0
663,上海-上海,2016-10-25,471.0
664,上海-上海,2016-10-26,286.0
665,上海-上海,2016-10-27,248.0
666,上海-上海,2016-10-28,359.0
667,上海-上海,2016-10-29,8.0
668,上海-上海,2016-10-30,0.0
669,上海-上海,2016-10-31,148.0
670,上海-上海,2016-11-01,536.0
671,上海-上海,2016-11-02,90.0
672,上海-上海,2016-11-03,150.0
673,上海-上海,2016-11-04,358.0
674,上海-上海,2016-11-05,33.0
675,上海-上海,2016-11-06,0.0
676,上海-上海,2016-11-07,193.0
677,上海-上海,2016-11-08,250.0
678,上海-上海,2016-11-09,164.0
679,上海-上海,2016-11-10,277.0
680,上海-上海,2016-11-11,175.0
681,上海-上海,2016-11-12,0.0
682,上海-上海,2016-11-13,9.0
683,上海-上海,2016-11-14,264.0
684,上海-上海,2016-11-15,241.0
685,上海-上海,2016-11-16,135.0
686,上海-上海,2016-11-17,124.0
687,上海-上海,2016-11-18,178.0
688,上海-上海,2016-11-19,15.0
689,上海-上海,2016-11-20,10.0
690,上海-上海,2016-11-21,373.0
691,上海-上海,2016-11-22,210.0
692,上海-上海,2016-11-23,151.0
693,上海-上海,2016-11-24,257.0
694,上海-上海,2016-11-25,120.0
695,上海-上海,2016-11-26,7.0
696,上海-上海,2016-11-27,9.0
697,上海-上海,2016-11-28,193.0
698,上海-上海,2016-11-29,142.0
699,上海-上海,2016-11-30,581.0
700,上海-上海,2016-12-01,298.0
701,上海-上海,2016-12-02,296.0
702,上海-上海,2016-12-03,8.0
703,上海-上海,2016-12-04,4.0
704,上海-上海,2016-12-05,116.0
705,上海-上海,2016-12-06,228.0
706,上海-上海,2016-12-07,46.0
707,上海-上海,2016-12-08,398.0
708,上海-上海,2016-12-09,164.0
709,上海-上海,2016-12-10,8.0
710,上海-上海,2016-12-11,17.0
711,上海-上海,2016-12-12,235.0
712,上海-上海,2016-12-13,397.0
713,上海-上海,2016-12-14,669.0
714,上海-上海,2016-12-15,884.0
715,上海-上海,2016-12-16,1224.0
716,上海-上海,2016-12-17,153.0
717,上海-上海,2016-12-18,91.0
718,上海-上海,2016-12-19,1321.0
719,上海-上海,2016-12-20,5791.0
720,上海-上海,2016-12-21,2089.0
721,上海-上海,2016-12-22,2195.0
722,上海-上海,2016-12-23,1653.0
723,上海-上海,2016-12-24,974.0
724,上海-上海,2016-12-25,88.0
725,上海-上海,2016-12-26,1455.0
726,上海-上海,2016-12-27,2269.0
727,上海-上海,2016-12-28,2689.0
728,上海-上海,2016-12-29,3558.0
729,上海-上海,2016-12-30,1087.0
730,上海-上海,2016-12-31,95.0
